Date,Hour,MAS
09/10/2023,21,14.31
09/10/2023,21,14.39
09/10/2023,21,14.54
09/10/2023,21,14.56
09/10/2023,21,14.58
09/10/2023,21,14.69
09/10/2023,21,14.65
09/10/2023,21,14.51
09/10/2023,21,14.54
09/10/2023,21,14.5
09/10/2023,22,14.38
09/10/2023,22,14.29
09/10/2023,22,14.19
09/10/2023,22,14.23
09/10/2023,22,14.24
09/10/2023,22,14.33
09/10/2023,22,14.42
09/10/2023,22,14.54
09/10/2023,22,14.47
09/10/2023,22,14.58
09/10/2023,22,14.58
09/10/2023,22,14.68
09/10/2023,23,14.72
09/10/2023,23,14.92
09/10/2023,23,15.14
09/10/2023,23,15.2
09/10/2023,23,15.13
09/10/2023,23,14.9
09/10/2023,23,14.77
09/10/2023,23,14.83
09/10/2023,23,14.79
09/10/2023,23,14.76
09/10/2023,23,14.8
09/10/2023,23,14.71
10/10/2023,0,14.65
10/10/2023,0,14.61
10/10/2023,0,15.01
10/10/2023,0,15.34
10/10/2023,0,15.07
10/10/2023,0,14.87
10/10/2023,0,15.02
10/10/2023,0,14.95
10/10/2023,0,15.2
10/10/2023,0,15.52
10/10/2023,0,15.24
10/10/2023,0,15.02
10/10/2023,1,14.98
10/10/2023,1,15.1
10/10/2023,1,14.96
10/10/2023,1,14.93
10/10/2023,1,15
10/10/2023,1,15.11
10/10/2023,1,14.78
10/10/2023,1,14.82
10/10/2023,1,14.86
10/10/2023,1,14.79
10/10/2023,1,14.84
10/10/2023,1,14.83
10/10/2023,2,14.77
10/10/2023,2,14.62
10/10/2023,2,14.63
10/10/2023,2,14.59
10/10/2023,2,14.72
10/10/2023,2,14.33
10/10/2023,2,14.72
10/10/2023,2,15.04
10/10/2023,2,15.05
10/10/2023,2,15.18
10/10/2023,2,14.81
10/10/2023,2,14.7
10/10/2023,3,15
10/10/2023,3,14.9
10/10/2023,3,15
10/10/2023,3,14.64
10/10/2023,3,14.67
10/10/2023,3,14.75
10/10/2023,3,14.64
10/10/2023,3,14.36
10/10/2023,3,14.45
10/10/2023,3,15.2
10/10/2023,3,15.4
10/10/2023,3,15.45
10/10/2023,4,15.37
10/10/2023,4,15.35
10/10/2023,4,15.35
10/10/2023,4,15.69
10/10/2023,4,15.86
10/10/2023,4,14.99
10/10/2023,4,15.41
10/10/2023,4,15.27
10/10/2023,4,15.42
10/10/2023,4,14.33
10/10/2023,4,14.83
10/10/2023,4,14.99
10/10/2023,5,15.22
10/10/2023,5,16.78
10/10/2023,5,15.72
10/10/2023,5,15.56
10/10/2023,5,14.77
10/10/2023,5,14.71
10/10/2023,5,14.92
10/10/2023,5,14.84
10/10/2023,5,15.26
10/10/2023,5,15.44
10/10/2023,5,15.33
10/10/2023,5,15.47
10/10/2023,6,15.2
10/10/2023,6,15.01
10/10/2023,6,14.93
10/10/2023,6,14.64
10/10/2023,6,15.16
10/10/2023,6,15.21
10/10/2023,6,14.89
10/10/2023,6,14.73
10/10/2023,6,14.86
10/10/2023,6,14.85
10/10/2023,6,15.02
10/10/2023,6,14.63
10/10/2023,7,14.44
10/10/2023,7,13.59
10/10/2023,7,12.11
10/10/2023,7,10.65
10/10/2023,7,9.12
10/10/2023,7,7.81
10/10/2023,7,7.35
10/10/2023,7,6.73
10/10/2023,7,6.03
10/10/2023,7,0
10/10/2023,7,0
10/10/2023,7,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,8,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,9,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,10,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,11,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,12,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,13,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,14,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,15,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,16,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,17,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,0
10/10/2023,18,5.92
10/10/2023,19,6.03
10/10/2023,19,6.34
10/10/2023,19,6.55
10/10/2023,19,7.35
10/10/2023,19,7.96
10/10/2023,19,9.03
10/10/2023,19,10.4
10/10/2023,19,11.75
10/10/2023,19,13.17
10/10/2023,19,14.14
10/10/2023,19,14.84
10/10/2023,19,15.21
10/10/2023,20,15.04
10/10/2023,20,14.96
10/10/2023,20,14.81
10/10/2023,20,14.65
10/10/2023,20,14.99
10/10/2023,20,15.68
10/10/2023,20,15.78
10/10/2023,20,15.66
10/10/2023,20,15.3
10/10/2023,20,14.81
10/10/2023,20,15.14
10/10/2023,20,15.28
10/10/2023,21,14.84
10/10/2023,21,15.22
10/10/2023,21,15.14
10/10/2023,21,14.87
10/10/2023,21,15.02
10/10/2023,21,14.81
10/10/2023,21,15.45
10/10/2023,21,16.05
10/10/2023,21,16.38
10/10/2023,21,15.85
10/10/2023,21,15.16
10/10/2023,21,15.24
10/10/2023,22,15.53
10/10/2023,22,15.46
10/10/2023,22,15.38
10/10/2023,22,15.77
10/10/2023,22,15.46
10/10/2023,22,16.05
10/10/2023,22,16.92
10/10/2023,22,16.96
10/10/2023,22,17.14
10/10/2023,22,17.12
10/10/2023,22,17.23
10/10/2023,22,16.9
10/10/2023,23,16
10/10/2023,23,16.32
10/10/2023,23,16.79
10/10/2023,23,17.01
10/10/2023,23,16.72
10/10/2023,23,16.39
10/10/2023,23,16.01
10/10/2023,23,15.86
10/10/2023,23,15.92
10/10/2023,23,15.66
10/10/2023,23,15.83
10/10/2023,23,15.02
11/10/2023,0,14.88
11/10/2023,0,14.96
11/10/2023,0,15.36
11/10/2023,0,15.59
11/10/2023,0,15.46
11/10/2023,0,16.01
11/10/2023,0,15.14
11/10/2023,0,14.96
11/10/2023,0,15
11/10/2023,0,14.95
11/10/2023,0,14.97
11/10/2023,0,14.97
11/10/2023,1,15.06
11/10/2023,1,15.93
11/10/2023,1,15.77
11/10/2023,1,16.3
11/10/2023,1,17.49
11/10/2023,1,17.39
11/10/2023,1,16.58
11/10/2023,1,17.3
11/10/2023,1,16.44
11/10/2023,1,16.35
11/10/2023,1,16.04
11/10/2023,1,16.21
